ID,Process_ID,Target_ID,Source_ID,Root_ID,Stempart_IDs,Comment
akita-fill-with-worms,tavbz,akita-fill-with-worms,aki-worm,,akita-fill-with-worms-1,
apita-ripen,tavbz,apita-ripen,api-ripeness,,apita-ripen-1,
amuta-ripen,tavbz,amuta-ripen,amu-ripeness,,amuta-ripen-1,
chijchiputa-move-body,tavbz,chijchiputa-move-body,chijchipu-body-movement,,chijchiputa-move-body-1,
kasota-fatten,tavbz,kasota-fatten,kaso-fat,,kasota-fatten-1,
takunuta-slack-off,tavbz,takunuta-slack-off,takunu-laziness,,takunuta-slack-off-1,
keyata-grow,tavbz,keyata-grow,,,keyeta-grow-1,
majta-become-thin,tavbz,majta-become-thin,,,majta-become-thin-1,
paijta-swell-river,tavbz,paijta-swell-river,,,paijta-swell-river-1,
wenaka-vomit,kavbz,wenaka-vomit,wena-vomit,,wenaka-vomit-1,
ajpachika-weed,kavbz,ajpachika-weed,ajpachi-undergrowth,,ajpachika-weed-1,
mejyaka-uncover,kavbz,mejyaka-uncover,mejya-cover,,mejyaka-uncover-1,
moronka-make-suffer,kavbz,moronka-make-suffer,moroni-pain,,moronka-make-suffer-1,
mujnaka-dig-out,kavbz,mujnaka-dig-out,mujna-grave,,mujnaka-dig-out-1,
pataka-take-out,kavbz,pataka-take-out,pata-village,,pataka-take-out-1,
katupuma-pile-up,macaus,katupuma-pile-up,,,katupuma-pile-up-1,
keyama-raise,macaus,keyama-raise,,,keyama-raise-1,
kirima-thicken,macaus,kirima-thicken,,,kirima-thicken-1,
morontama-cause-pain,macaus,morontama-cause-pain,moronta-hurt,,morontama-cause-pain-1,
pejma-bewitch,macaus,pejma-bewitch,,,pejma-bewitch-1,
yajwema-sweeten,macaus,yajwema-sweeten,,,yajwema-sweeten-1,
yapima-make-worse,macaus,yapima-make-worse,,,yapima-make-worse-1,
yatuma-warm,macaus,yatuma-warm,,,yatuma-warm-1,
yerema-feed,macaus,yerema-feed,,,yerema-feed-1,
yakarama-tell,macaus,yakarama-tell,yakara-believe,,yakarama-tell-1,
ejnai-make-self,detrz,ejnai-make-self,nai-do,,ejnai-make-self-0,
ejwenaka-vomit,detrz,ejwenaka-vomit,wenaka-vomit,,ejwenaka-vomit-0,
serema-eat,detrz,serema-eat,yerema-feed,,serema-eat-0,
senka-finish,detrz,senka-finish,enka-finish,,senka-finish-0,
ejneme-remain,detrz,ejneme-remain,neme-leave,,ejneme-remain-0,
senejka-stay,detrz,senejka-stay,enejka-watch,,senejka-stay-0,
apataka-come-out,detrz,apataka-come-out,pataka-take-out,,apataka-come-out-0,
sereka-become-tired,detrz,sereka-become-tired,,,sereka-become-tired-0,
esene-see-self,detrz,esene-see-self,ini-see,,esene-see-self-0,
atapej-seize-on,detrz,atapej-seize-on,,,atapej-seize-on-0,
ejpenaka-return,detrz,ejpenaka-return,penaka-return,,ejpenaka-return-0,
kojpaye-at-night,yeadvz,kojpaye-at-night,kojpa-night,,kojpaye-at-night-1,
kamprake-big,keprop,kamprake-big,kampara-big,,kamprake-big-1,
tejpore-tasty,readvz,tejpore-tasty,,,tejpore-tasty-1,
tapire-red,readvz,tapire-red,,,tapire-red-1,
pechine-odorous,neadvz,pechine-odorous,,,pochine-odorous-1,
makepijke-second-mother,pijkedim,makepijke-second-mother,make-mom,,makepijke-second-mother-1,
mujnajte-bury,jtevbz,mujnajte-bury,mujna-grave,,mujnajte-bury-1,
ajpachike-undergrowth-prop,keprop,ajpachike-undergrowth-prop,ajpachi-undergrowth,,ajpachike-undergrowth-prop-1,
asereke-dry-cough-prop,keprop,asereke-dry-cough-prop,asere-dry-cough,,asereke-dry-cough-prop-1,
enirono-now-nmlz,anonmlz,enirono-now-nmlz,eniro-now,,enirono-now-nmlz-1,
kaimoke-game-prop,keprop,kaimoke-game-prop,kaimo-game,,kaimoke-game-prop-1,
kamparake-big-prop,keprop,kamparake-big-prop,kampara-big,,kamparake-big-prop-1,
kereke-old-prop,keprop,kereke-old-prop,kere-old,,kereke-old-prop-1,
keyari-think-acnnmlz,rinmlz,keyari-think-acnnmlz,keya-think,,keyari-think-acnnmlz-1,
nopano-good-nmlz,anonmlz,nopano-good-nmlz,nop-good,,nopano-good-nmlz-1,
panake-ear-prop,keprop,panake-ear-prop,pana-ear,,panake-ear-prop-1,
teijpono-far-nmlz,anonmlz,teijpono-far-nmlz,teijpo-far-1,,teijpono-far-nmlz-1,
tejporemi-tasty-nmlz,minmlz,tejporemi-tasty-nmlz,tejpore-tasty,,tejporemi-tasty-nmlz-1,
weseyuri-be-brave-acnnmlz,rinmlz,weseyuri-be-brave-acnnmlz,weseyu-be-brave,,weseyuri-be-brave-acnnmlz-1,
yakaramari-tell-acnnmlz,rinmlz,yakaramari-tell-acnnmlz,yakarama-tell,,yakaramari-tell-acnnmlz-1,
tajtane-say-cncs,tanecncs,tajtane-say-cncs,taj-say,,tajtane-say-cncs-1,
serekapo-become-tired-des,podes,serekapo-become-tired-des,sereka-become-tired,,serekapo-become-tired-des-1,
pokono-about-nmlz,anonmlz,pokono-about-nmlz,poko-about,,pokono-about-nmlz-1,
tunamri-hide-acnnmlz,rinmlz,tunamri-hide-acnnmlz,tunam-hide,,tunamri-hide-acnnmlz-1,
yarikatopo-laugh-circ-nmlz,toponmlz,yarikatopo-laugh-circ-nmlz,yarika-laugh,,yarikatopo-laugh-circ-nmlz-1,
itapo-hear-des,podes,itapo-hear-des,ita-hear,,itapo-hear-des-1,
chiri-cop-acnnmlz,rinmlz,chiri-cop-acnnmlz,chi-cop,,chiri-cop-acnnmlz-1,
yaruwatopo-laugh-circ-nmlz,toponmlz,yaruwatopo-laugh-circ-nmlz,yaruwa-laugh,,yaruwatopo-laugh-circ-nmlz-1,
iniri-see-acnnmlz,rinmlz,iniri-see-acnnmlz,ini-see,,iniri-see-acnnmlz-1,
semajpe-die-pst-acnnmlz,jpenmlz,semajpe-die-pst-acnnmlz,sema-die,,semajpe-die-pst-acnnmlz-1,
yemiri-be-hungry-acnnmlz,rinmlz,yemiri-be-hungry-acnnmlz,yemi-be-hungry-1,,yemiri-be-hungry-acnnmlz-1,
serematojpe-eat-purp,tojpepurp,serematojpe-eat-purp,serema-eat,,serematojpe-eat-purp-2,
semasape-die-abs-nmlz,sapenmlz,semasape-die-abs-nmlz,sema-die,,semasape-die-abs-nmlz-1,
kejmatojpe-hunt-purp,tojpepurp,kejmatojpe-hunt-purp,kejma-hunt,,kejmatojpe-hunt-purp-1,
ijmokatojpe-cook-purp,tojpepurp,ijmokatojpe-cook-purp,ijmoka-cook,,ijmokatojpe-cook-purp-1,
tajtojpe-say-purp,tojpepurp,tajtojpe-say-purp,taj-say,,tajtojpe-say-purp-1,
wejtane-cop-cncs,tanecncs,wejtane-cop-cncs,wej-cop,,wejtane-cop-cncs-1,
winikiri-sleep-acnnmlz,rinmlz,winikiri-sleep-acnnmlz,winiki-sleep,,winikiri-sleep-acnnmlz-1,
sejpejse-dream-ptcp,septcp,sejpejse-dream-ptcp,sejpej-dream,,sejpejse-dream-ptcp-1,
