ID,Language_ID,Name,Lexeme_ID,Parameter_ID,Morpho_Segments,Segments,Comment,Source
pirika-endure,yab,pïrïka,,endure,pïrïka,p ɨ r ɨ k a,,
roka-wash,yab,roka,,wash,roka,r o k a,,
roko-crazy,yab,roko,,crazy,roko,r o k o,,
romoye-downriver,yab,romoye,,downriver,romoye,r o m o j e,,
rotoro-doctor,yab,rotoro,,doctor,rotoro,r o t o r o,,
rui-older-brother,yab,rui,,older_brother,rui,r u i,,
sai-penis,yab,sai,,penis,sai,s a i,,
sakara-hoplias-malabaricus,yab,sakara,,hoplias_malabaricus,sakara,s a k a r a,,
sakau-sand,yab,sakau,,sand,sakau,s a k a u,,
saku-sweet-potato,yab,saku,,sweet_potato,saku,s a k u,,
samo-cry,yab,samo,,cry,samo,s a m o,,
semo-cry,yab,sëmo,,cry,sëmo,s ə m o,,
asamo-cry,yab,asamo,,cry,asamo,a s a m o,,
sampu-black-piranha,yab,sampu,,black_piranha,sampu,s a m p u,,
sapara-heavy-pot,yab,sapara,,heavy_pot,sapara,s a p a r a,,
sare-here-all,yab,sarë,,here.ALL,sarë,s a r ə,,
sawo-rapids,yab,sawo,,rapids,sawo,s a w o,,
sepami-get-married,yab,sepamï,,get_married,sepamï,s e p a m ɨ,,
sepan-get-married,yab,sepan,,get_married,sepan,s e p a n,,
sere-bitter-manioc,yab,sere,,bitter_manioc,sere,s e r e,,
sojpa-take-out,yab,sojpa,,take_out,sojpa,s o h p a,,
sopika-skin,yab,sopika,,skin,sopika,s o p i k a,,
sukase-all,yab,sukase,,all,sukase,s u k a s e,,
sukutaka-yucuta,yab,sukutaka,,yucuta,sukutaka,s u k u t a k a,,
surukupi-fish-sp,yab,surukupi,,fish.sp,surukupi,s u r u k u p i,,
sema-die,yab,sëma,,die,sëma,s ə m a,Looks like a DETRZ?,
esema-die,yab,ësëma,,die,ësëma,ə s ə m a,Looks like a DETRZ?,
tajme-ugly,yab,tajme,,ugly,tajme,t a h m e,,
tajnomo-piaroa,yab,tajnomo,,Piaroa,tajnomo,t a h n o m o,,
tajromini-bad-omen,yab,tajromini,,bad_omen,tajromini,t a h r o m i n i,,
tajromin-bad-omen,yab,tajromin,,bad_omen,tajromin,t a h r o m i n,,
tajropo-have-fever,yab,tajropo,,have_fever,tajropo,t a h r o p o,,
takono-other,yab,takono,,other,takono,t a k o n o,,
takon-other,yab,takon,,other,takon,t a k o n,,
takunu-laziness,yab,takunu,,laziness,takunu,t a k u n u,,
tapa-beat,yab,tapa,,beat,tapa,t a p a,,
tarine-fast,yab,tarine,,fast,tarine,t a r i n e,Derived with _-ne_?,
taro-say,yab,taro,,say,taro,t a r o,,
taj-say,yab,taj,,say,taj,t a h,,
ta-say,yab,ta,,say,ta,t a,,
tawani-darkness,yab,tawani,,darkness,tawani,t a w a n i,,
tawa-nyctidromus-albicollis,yab,tawa,,nyctidromus_albicollis,tawa,t a w a,,
tejwetunu-sick,yab,tejwetunu,,sick,tejwetunu,t e h w e t u n u,,
tejetum-sick,yab,tejetum,,sick,tejetum,t e h e t u m,,
temeki-defend,yab,temekï,,defend,temekï,t e m e k ɨ,,
semeki-defend,yab,semekï,,defend,semekï,s e m e k ɨ,,
semej-defend,yab,semej,,defend,semej,s e m e h,,
tojpa-hit,yab,tojpa,,hit,tojpa,t o h p a,,
tonko-play,yab,tonko,,play,tonko,t o n k o,,
torono-bird,yab,torono,,bird,torono,t o r o n o,,
torote-cemetery,yab,torotë,,cemetery,torotë,t o r o t ə,,
toto-non-indian,yab,toto,,non_Indian,toto,t o t o,,
tujnaka-iller,yab,tujnaka,,iller,tujnaka,t u h n a k a,,
tuna-water,yab,tuna,,water,tuna,t u n a,,
tunami-hide,yab,tunamï,,hide,tunamï,t u n a m ɨ,,
tunam-hide,yab,tunam,,hide,tunam,t u n a m,,
tu-give,yab,tu,,give,tu,t u,,
te-loc,yab,të,,LOC,të,t ə,,
teijpo-far,yab,tëijpo,,far; long,tëijpo,t ə i h p o,,
teijpe-far,yab,tëijpë,,far; long,tëijpë,t ə i h p ə,,
teijpo-far-1,yab,teijpo,,far; long,teijpo,t e i h p o,,
tejta-hollow,yab,tëjta,,hollow,tëjta,t ə h t a,,
tewi-3pro,yab,tëwï,,3PRO,tëwï,t ə w ɨ,,
tewisantomo-3pro-pl,yab,tëwïsantomo,,3PRO.PL,tëwïsantomo,t ə w ɨ s a n t o m o,,
tewisanton-3pro-pl,yab,tëwïsanton,,3PRO.PL,tëwïsanton,t ə w ɨ s a n t o n,,
waijta-mouse,yab,waijta,,mouse,waijta,w a i h t a,,
waijte-head,yab,waijtë,,head,waijtë,w a i h t ə,,
waimu-language,yab,waimu,,language,waimu,w a i m u,,
waimu-speak,yab,waimu,,speak,waimu,w a i m u,,
waimurun-speak,yab,waimurun,,speak,waimurun,w a i m u r u n,,
wajto-fire,yab,wajto,,fire,wajto,w a h t o,,
wajyaki-happy,yab,wajyakï,,happy,wajyakï,w a h j a k ɨ,,
wajyaki-be-happy,yab,wajyakï,,be_happy,wajyakï,w a h j a k ɨ,,
wajyakiti-be-happy,yab,wajyakïtï,,be_happy,wajyakïtï,w a h j a k ɨ t ɨ,,
wajyama-kiss,yab,wajyama,,kiss,wajyama,w a h j a m a,,
wanapu-savannah,yab,wanapu,,savannah,wanapu,w a n a p u,,
wanene-aunt,yab,wanene,,aunt,wanene,w a n e n e,,
waraijtokomo-man,yab,waraijtokomo,,man,waraijtokomo,w a r a i h t o k o m o,,
waraijtokom-man,yab,waraijtokom,,man,waraijtokom,w a r a i h t o k o m,,
waraijtokon-man,yab,waraijtokon,,man,waraijtokon,w a r a i h t o k o n,,
waraijto-husband,yab,waraijto,,husband,waraijto,w a r a i h t o,,
warota-work,yab,warota,,work,warota,w a r o t a,,
waruwa-hoti,yab,waruwa,,hoti,waruwa,w a r u w a,,
waruwaru-hoti,yab,waruwaru,,hoti,waruwaru,w a r u w a r u,,
wasayi-attalea-maripa,yab,wasayi,,attalea_maripa,wasayi,w a s a j i,,
wasai-attalea-maripa,yab,wasai,,attalea_maripa,wasai,w a s a i,,
wati-burn,yab,watï,,burn,watï,w a t ɨ,,
waj-burn,yab,waj,,burn,waj,w a h,,
wawe-loc-aq,yab,wawë,,LOC.AQ,wawë,w a w ə,,
weka-defecate,yab,weka,,defecate,weka,w e k a,,
wena-vomit,yab,wena,,vomit,wena,w e n a,,
wenkepi-forget,yab,wenkepï,,forget,wenkepï,w e n k e p ɨ,,
wenkepi-forget-1,yab,wënkepï,,forget,wënkepï,w ə n k e p ɨ,,
wenkej-forget,yab,wënkej,,forget,wënkej,w ə n k e h,,
wepi-come,yab,wepï,,come,wepï,w e p ɨ,,
wej-come,yab,wej,,come,wej,w e h,,
wereta-arrive,yab,wereta,,arrive,wereta,w e r e t a,Potentially derived with [mp](tavbz).,
werewere-mosquito-sp,yab,werewere,,mosquito_sp.,werewere,w e r e w e r e,,
wereyi-cloud,yab,wereyi,,cloud,wereyi,w e r e j i,,
werey-cloud,yab,werey,,cloud,werey,w e r e j,,
weroro-dog,yab,weroro,,dog,weroro,w e r o r o,,
weseyu-be-brave,yab,weseyu,,be_brave,weseyu,w e s e j u,,
wesei-be-brave,yab,wesei,,be_brave,wesei,w e s e i,,
wiriyamo-woman,yab,wiriyamo,,woman,wiriyamo,w i r i j a m o,,
wurijyam-woman,yab,wurijyam,,woman,wurijyam,w u r i h j a m,,
wurijyamo-woman,yab,wurijyamo,,woman,wurijyamo,w u r i h j a m o,,
wurijyan-woman,yab,wurijyan,,woman,wurijyan,w u r i h j a n,,
wejka-fall,yab,wëjka,,fall,wëjka,w ə h k a,,
wejte-go-down,yab,wëjtë,,go_down,wëjtë,w ə h t ə,,
we-kill,yab,wë,,kill,wë,w ə,,
winiki-sleep,yab,wïnïkï,,sleep,wïnïkï,w ɨ n ɨ k ɨ,,
winik-sleep,yab,winik,,sleep,winik,w i n i k,,
winij-sleep,yab,wïnïj,,sleep,wïnïj,w ɨ n ɨ h,,
wire-1pro,yab,wïrë,,1PRO,wïrë,w ɨ r ə,,
ya-ra-grandchild,yab,ya'ra,,grandchild,ya'ra,j a ʔ r a,,
yajno-brother-in-law-man,yab,yajno,,brother_in_law(man),yajno,j a h n o,,
yaka-all,yab,yaka,,ALL,yaka,j a k a,,
yaka-dig-out,yab,yaka,,dig_out,yaka,j a k a,,
yamane-make,yab,yamanë,,make,yamanë,j a m a n ə,,
yaman-make,yab,yaman,,make,yaman,j a m a n,,
yamani-make,yab,yamani,,make,yamani,j a m a n i,,
yami-pick-up,yab,yamï,,pick_up,yamï,j a m ɨ,,
yan-pick-up,yab,yan,,pick_up,yan,j a n,,
yam-pick-up,yab,yam,,pick_up,yam,j a m,,
yane-mother,yab,yanë,,mother,yanë,j a n ə,,
sane-mother,yab,sanë,,mother,sanë,s a n ə,,
yaniki-call,yab,yanïkï,,call,yanïkï,j a n ɨ k ɨ,,
yanij-call,yab,yanïj,,call,yanïj,j a n ɨ h,,
yapijtomo-old,yab,yapijtomo,,old,yapijtomo,j a p i h t o m o,Fossilized _-tomo_.,
yapijton-old,yab,yapijton,,old,yapijton,j a p i h t o n,Fossilized _-tomo_.,
yapechi-grab,yab,yapëchi,,grab,yapëchi,j a p ə t͡ʃ i,,
yapej-grab,yab,yapëj,,grab,yapëj,j a p ə h,,
yapichi-grab,yab,yapïchi,,grab,yapïchi,j a p ɨ t͡ʃ i,,
yarika-laugh,yab,yarika,,laugh,yarika,j a r i k a,,
yaruwa-laugh,yab,yaruwa,,laugh,yaruwa,j a r u w a,,
yare-bring,yab,yarë,,bring,yarë,j a r ə,,
yatane-adolescent,yab,yatanë,,adolescent,yatanë,j a t a n ə,,
yatam-adolescent,yab,yatam,,adolescent,yatam,j a t a m,,
yatan-adolescent,yab,yatan,,adolescent,yatan,j a t a n,,
yatunu-day,yab,yatunu,,day; sun,yatunu,j a t u n u,,
yatum-day,yab,yatum,,day; sun,yatum,j a t u m,,
yatun-day,yab,yatun,,day; sun,yatun,j a t u n,,
yate-loc,yab,yatë,,LOC,yatë,j a t ə,,
yawaka-sow,yab,yawaka,,sow,yawaka,j a w a k a,,
yawaki-grate,yab,yawakï,,grate,yawakï,j a w a k ɨ,,
yawanka-kill,yab,yawanka,,kill,yawanka,j a w a n k a,,
yaye-loc,yab,yaye,,LOC,yaye,j a j e,,
yemekunu-five,yab,yemekunu,,five,yemekunu,j e m e k u n u,,
yeme-eat-fruits-eggs-soup,yab,yeme,,"eat(fruits,_eggs,_soup)",yeme,j e m e,,
yenepe-send-away,yab,yenepe,,send_away,yenepe,j e n e p e,,
yepema-pay,yab,yepema,,pay,yepema,j e p e m a,Potentially derived with [mp](macaus).,
yojma-mix,yab,yojma,,mix,yojma,j o h m a,Maybe from [mp](oki-chicha) and [mp](macaus)?,
yojte-fish-with-hook,yab,yojtë,,fish_with_hook,yojtë,j o h t ə,,
yoko-pimple,yab,yoko,,pimple,yoko,j o k o,,
yoki-eat-starch,yab,yokï,,eat(starch),yokï,j o k ɨ,,
yoj-eat-starch,yab,yoj,,eat(starch),yoj,j o h,,
yopo-find,yab,yopo,,find,yopo,j o p o,,
yujwa-burn,yab,yujwa,,burn,yujwa,j u h w a,,
yumpe-fairly,yab,yumpe,,fairly; much,yumpe,j u m p e,,
yutu-forest,yab,yutu,,forest,yutu,j u t u,,
ye-tooth,yab,yë,,tooth,yë,j ə,,
ye-tooth-1,yab,ye,,tooth,ye,j e,,
yejpe-bone,yab,yëjpë,,bone,yëjpë,j ə h p ə,,
yempeka-offend,yab,yëmpëka,,offend,yëmpëka,j ə m p ə k a,,
yeni-drink,yab,yëni,,drink,yëni,j ə n i,,
yeni-drink-1,yab,yeni,,drink,yeni,j e n i,,
yen-drink,yab,yën,,drink,yën,j ə n,,
yeni-drink-2,yab,yënï,,drink,yënï,j ə n ɨ,,
yene-eat-meat,yab,yënë,,eat(meat),yënë,j ə n ə,,
yewuku-answer,yab,yëwuku,,answer,yëwuku,j ə w u k u,,
yeye-tree,yab,yëye,,tree,yëye,j ə j e,,
yipi-mountain,yab,yïpï,,mountain,yïpï,j ɨ p ɨ,,
ejpina-often,yab,ëjpïna,,often,ëjpïna,ə h p ɨ n a,,
ekere-jaguar,yab,ëkërë,,jaguar,ëkërë,ə k ə r ə,,
empare-already,yab,ëmpare,,already,ëmpare,ə m p a r e,,
enuku-go-up,yab,ënuku,,go_up,ënuku,ə n u k u,,
enuj-go-up,yab,ënuj,,go_up,ënuj,ə n u h,,
erine-cooking-pot,yab,ërinë,,cooking_pot,ërinë,ə r i n ə,,
etipa-go-in-group,yab,ëtïpa,,go_in_group,ëtïpa,ə t ɨ p a,,
tipa-go-in-group,yab,tipa,,go_in_group,tipa,t i p a,,
ya-erg,yab,ya,,ERG,ya,j a,,
ya-obl,yab,ya,,OBL,ya,j a,,
yawe-loc,yab,yawë,,LOC,yawë,j a w ə,,
yawo-loc,yab,yawo,,LOC,yawo,j a w o,,
chawe-loc,yab,chawë,,LOC,chawë,t͡ʃ a w ə,,
tawara-too,yab,tawara,,too,tawara,t a w a r a,,
tawaraij-too,yab,tawaraij,,too,tawaraij,t a w a r a i h,,
chi-cop,yab,chi,,COP,chi,t͡ʃ i,*eti,
ch-cop,yab,ch,,COP,ch,t͡ʃ,*eti,
chij-cop,yab,chij,,COP,chij,t͡ʃ i h,*eti,
wej-cop,yab,wej,,COP,wej,w e h,*eti,
waraij-like,yab,waraij,,like,waraij,w a r a i h,,
warai-like,yab,warai,,like,warai,w a r a i,,
te-go,yab,të,,go,të,t ə,Irregularly inflected.,
ke-ins,yab,ke,,INS,ke,k e,,
ewenke-ignorant,yab,ewenke,,ignorant,ewenke,e w e n k e,,
suku-urine,yab,suku,,urine,suku,s u k u,,
suj-urine,yab,suj,,urine,suj,s u h,,
mesuku-blood,yab,mesuku,,blood,mesuku,m e s u k u,,
mesuj-blood,yab,mesuj,,blood,mesuj,m e s u h,,
enka-finish,yab,ënka,,finish,ënka,ə n k a,,
enejka-watch,yab,enejka,,watch,enejka,e n e h k a,,
wajto-fire-1,yab,wajto,,fire,wajto,w a h t o,,
naij-do,yab,naij,,do,naij,n a i h,,
tawejka-dawn,yab,tawejka,,dawn,tawejka,t a w e h k a,,
aniki-who,yab,anïkï,,who,anïkï,a n ɨ k ɨ,,
aniki-who-1,yab,aniki,,who,aniki,a n i k i,,
ka-say,yab,ka,,say,ka,k a,,
kaj-say,yab,kaj,,say,kaj,k a h,,
iwiti-house,yab,ïwïtï,,house,ïwïtï,ɨ w ɨ t ɨ,,
iwij-house,yab,ïwïj,,house,ïwïj,ɨ w ɨ h,,
ej-house,yab,ëj,,house,ëj,ə h,,
tawaja-thus-neg,yab,tawaja,,thus.NEG,tawaja,t a w a h a,"Looks suspiciously like [mp](tawara-too) and [mp](janeg), but the combination would be unexpected.",
kanta-sing,yab,kanta,,sing,kanta,k a n t a,,
ekete-where,yab,ëkëtë,,where,ëkëtë,ə k ə t ə,,
ekej-where,yab,ëkëj,,where,ëkëj,ə k ə h,,
eki-chicha,yab,ëkï,,chicha,ëkï,ə k ɨ,,
oki-chicha,yab,okï,,chicha,okï,o k ɨ,,
womi-enter,yab,womï,,enter,womï,w o m ɨ,,
