ID,Language_ID,Name,Lexeme_ID,Parameter_ID,Morpho_Segments,Segments,Comment,Source
monkontomo-2pl-pro,yab,monkontomo,,2PL.PRO,monkontomo,m o n k o n t o m o,,
mokontomo-2pl-pro,yab,mokontomo,,2PL.PRO,mokontomo,m o k o n t o m o,,
mekontomo-2pl-pro,yab,mëkontomo,,2PL.PRO,mëkontomo,m ə k o n t o m o,,
montomo-2pl-pro,yab,montomo,,2PL.PRO,montomo,m o n t o m o,,
mokontom-2pl-pro,yab,mokontom,,2PL.PRO,mokontom,m o k o n t o m,,
mokonton-2pl-pro,yab,mokonton,,2PL.PRO,mokonton,m o k o n t o n,,
moroko-fish,yab,moroko,,fish,moroko,m o r o k o,,
morone-hurting,yab,morone,,hurting,morone,m o r o n e,,
moroni-pain,yab,moroni,,pain,moroni,m o r o n i,,
moron-pain,yab,moron,,pain,moron,m o r o n,,
morono-poison,yab,morono,,poison,morono,m o r o n o,,
moto-worm,yab,moto,,worm,moto,m o t o,,
moyochi-spider-sp,yab,moyochi,,spider(sp.),moyochi,m o j o t͡ʃ i,,
mujna-grave,yab,mujna,,grave,mujna,m u h n a,,
mujyane-pregnancy,yab,mujyanë,,pregnancy,mujyanë,m u h j a n ə,,
mujyam-pregnancy,yab,mujyam,,pregnancy,mujyam,m u h j a m,,
muku-child,yab,muku,,child,muku,m u k u,,
mune-bulbous,yab,mune,,bulbous,mune,m u n e,,
munta-budding,yab,munta,,budding,munta,m u n t a,,
mejki-dist-anim,yab,mëjkï,,DIST.ANIM,mëjkï,m ə h k ɨ,,
mere-2pro,yab,mërë,,2PRO,mërë,m ə r ə,,
mijna-there-all,yab,mïjna,,there.ALL,mïjna,m ɨ h n a,,
minte-there-loc,yab,mïntë,,there.LOC,mïntë,m ɨ n t ə,,
mira-priodontes-maximus,yab,mïra,,priodontes_maximus,mïra,m ɨ r a,,
nai-do,yab,nai,,do,nai,n a i,,
najmo-grandmother,yab,najmo,,grandmother,najmo,n a h m o,,
najpi-grandfather,yab,najpï,,grandfather,najpï,n a h p ɨ,,
najwata-harbor,yab,najwata,,harbor,najwata,n a h w a t a,,
naki-thirst,yab,naki,,thirst,naki,n a k i,,
nata-door,yab,nata,,door,nata,n a t a,,
nepi-bring,yab,nepï,,bring,nepï,n e p ɨ,,
nej-bring,yab,nej,,bring,nej,n e h,,
nono-earth,yab,nono,,earth,nono,n o n o,,
nope-good,yab,nope,,good,nope,n o p e,,
nop-good,yab,nop,,good,nop,n o p,,
noro-parrot-sp,yab,noro,,parrot.sp,noro,n o r o,,
noti-potential-partner,yab,noti,,potential_partner; cross_cousin,noti,n o t i,,
nta-mouth,yab,nta,,mouth,nta,n t a,,
nune-moon,yab,nunë,,moon,nunë,n u n ə,,
nu-tongue,yab,nu,,tongue,nu,n u,,
nwajte-dance,yab,nwajtë,,dance,nwajtë,n w a h t ə,,
wajte-dance,yab,wajtë,,dance,wajtë,w a h t ə,,
neme-leave,yab,nëmë,,leave,nëmë,n ə m ə,,
ochi-o,yab,ochi,,O.,ochi,o t͡ʃ i,,
ojpa-give-drink,yab,ojpa,,give_drink,ojpa,o h p a,,
onono-another,yab,onono,,another,onono,o n o n o,,
orojyamo-evil-being,yab,orojyamo,,evil_being,orojyamo,o r o h j a m o,,
pachi-older-sister-of-woman,yab,pachi,,older_sister_of_woman,pachi,p a t͡ʃ i,,
paijku-p,yab,paijku,,P.,paijku,p a i h k u,,
paka-cow,yab,paka,,cow,paka,p a k a,,
pakara-basket,yab,pakara,,basket,pakara,p a k a r a,,
pakura-coix-lacryma-jobi,yab,pakura,,Coix_lacryma_jobi,pakura,p a k u r a,,
paku-arrow-tip,yab,paku,,arrow_tip,paku,p a k u,,
pana-ear,yab,pana,,ear,pana,p a n a,,
pana-dat,yab,pana,,DAT,pana,p a n a,,
papa-father,yab,papa,,father,papa,p a p a,,
parujpe-broth,yab,parujpë,,broth,parujpë,p a r u h p ə,,
pata-village,yab,pata,,village,pata,p a t a,,
pata-axe,yab,pata,,axe,pata,p a t a,,
pate-cross,yab,patë,,cross,patë,p a t ə,,
penare-before,yab,penarë,,before,penarë,p e n a r ə,,
pene-piranha,yab,pene,,piranha,pene,p e n e,,
pepoye-above-perl,yab,pepoye,,above.PERL,pepoye,p e p o j e,,
pe-palm-sp,yab,pe,,palm.sp,pe,p e,,
peti-leg,yab,peti,,leg,peti,p e t i,,
peye-turtle-sp,yab,peye,,turtle.sp,peye,p e j e,,
picha-capuchin-monkey,yab,picha,,capuchin_monkey,picha,p i t͡ʃ a,,
pichipichi-whitebait,yab,pichipichi,,whitebait,pichipichi,p i t͡ʃ i p i t͡ʃ i,,
pijpe-skin,yab,pijpë,,skin,pijpë,p i h p ə,,
pika-peel,yab,pika,,peel,pika,p i k a,,
pike-fart,yab,pikë,,fart,pikë,p i k ə,,
pipi-younger-brother-of-woman,yab,pipi,,younger_brother_of_woman,pipi,p i p i,,
pirini-walk,yab,pirini,,walk,pirini,p i r i n i,,
pirini-walk-1,yab,pïrini,,walk,pïrini,p ɨ r i n i,,
pojte-want,yab,pojtë,,want,pojtë,p o h t ə,,
poroko-basket-sp,yab,poroko,,basket.sp,poroko,p o r o k o,,
poseti-belly,yab,poseti,,belly,poseti,p o s e t i,,
pota-mouth,yab,pota,,mouth; shore,pota,p o t a,,
poye-above,yab,poye,,above,poye,p o j e,,
punu-flesh,yab,punu,,flesh,punu,p u n u,,
pun-flesh,yab,pun,,flesh,pun,p u n,,
putu-feel,yab,putu,,feel,putu,p u t u,,
peke-about,yab,pëkë,,about,pëkë,p ə k ə,,
poko-about,yab,poko,,about,poko,p o k o,,
penaka-return,yab,pënaka,,return,pënaka,p ə n a k a,Maybe derived with [mp](kavbz).,
pimi-neck,yab,pïmï,,neck,pïmï,p ɨ m ɨ,,
