ID,Form_ID,Wordform_ID,Index
ejne-peremeki-ri-1-2pro-talk-ipfv-0,ejne-peremeki-ri-1-2pro-talk-ipfv,ejne-1-2pro,0
ejne-peremeki-ri-1-2pro-talk-ipfv-1,ejne-peremeki-ri-1-2pro-talk-ipfv,peremekiri-talk-ipfv,1
ejne-yarika-ri-1-2pro-laugh-ipfv-0,ejne-yarika-ri-1-2pro-laugh-ipfv,ejne-1-2pro,0
ejne-yarika-ri-1-2pro-laugh-ipfv-1,ejne-yarika-ri-1-2pro-laugh-ipfv,yarikari-laugh-ipfv,1
tewi-nai-konton-3pro-do-ipfv-pl-0,tewi-nai-konton-3pro-do-ipfv-pl,tewi-3pro,0
tewi-nai-konton-3pro-do-ipfv-pl-1,tewi-nai-konton-3pro-do-ipfv-pl,naikonton-do-ipfv-pl,1
ta-jne-naij-peti-ri-3-pl-do-plur-ipfv-0,ta-jne-naij-peti-ri-3-pl-do-plur-ipfv,tajne-3-pl,0
ta-jne-naij-peti-ri-3-pl-do-plur-ipfv-1,ta-jne-naij-peti-ri-3-pl-do-plur-ipfv,naijpetiri-do-plur-ipfv,1
wire-u-sujta-1pro-1-urinate-ipfv-0,wire-u-sujta-1pro-1-urinate-ipfv,wire-1pro,0
wire-u-sujta-1pro-1-urinate-ipfv-1,wire-u-sujta-1pro-1-urinate-ipfv,usujta-1-urinate-ipfv,1
keyape-cautious-0,keyape-cautious,keya-think-acnnmlz,0
keyape-cautious-1,keyape-cautious,pe-ess,1
weseyupe-brave-0,weseyupe-brave,weseyu-be-brave-acnnmlz,0
weseyupe-brave-1,weseyupe-brave,pe-ess,1
