ID,Stem_ID,Value_ID,Wordformpart_ID,Form_ID
keyatajpe-grow-pst-1-pst,keyata-grow,pst,keyatajpe-grow-pst-1,
yeme-eat-fruits-eggs-soup-ipfv-1-ipfv,yeme-eat-fruits-eggs-soup,ipfv,yeme-eat-fruits-eggs-soup-ipfv-1,
yokiri-eat-starch-ipfv-1-ipfv,yoki-eat-starch,ipfv,yokiri-eat-starch-ipfv-1,
yeni-drink-ipfv-1-ipfv,yeni-drink-1,ipfv,yeni-drink-ipfv-1,
sepanse-get-married-pst-1-pst,sepan-get-married,pst,sepanse-get-married-pst-1,
keyatase-grow-pst-1-pst,keyata-grow,pst,keyatase-grow-pst-1,
tese-go-pst-1-pst,te-go,pst,tese-go-pst-1,
ijtese-3-go-pst-0-3,te-go,3,ijtese-3-go-pst-0,
ijtese-3-go-pst-2-pst,te-go,pst,ijtese-3-go-pst-2,
padrastro-stepfather-pert-1-pert,padrastro-stepfather,pert,padrastro-stepfather-pert-1,
keyamase-raise-pst-1-pst,keyama-raise,pst,keyamase-raise-pst-1,
tapaja-beat-neg-1-neg,tapa-beat,neg,tapaja-beat-neg-1,
takere-3-with-0-3,akere-with,3,takere-3-with-0,
yiwiti-lk-house-pert-2-pert,iwiti-house,pert,yiwiti-lk-house-pert-2,
yiwij-lk-house-pert-2-pert,iwij-house,pert,yiwij-lk-house-pert-2,
senejka-stay-ipfv-1-ipfv,senejka-stay,ipfv,senejka-stay-ipfv-1,
sejpetiri-dream-ipfv-1-ipfv,sejpeti-dream,ipfv,sejpetiri-dream-ipfv-1,
sejpejse-dream-pst-1-pst,sejpej-dream,pst,sejpejse-dream-pst-1,
meyerepuntari-2-lk-become-sick-ipfv-0-2,erepunta-become-sick,2,meyerepuntari-2-lk-become-sick-ipfv-0,
meyerepuntari-2-lk-become-sick-ipfv-3-ipfv,erepunta-become-sick,ipfv,meyerepuntari-2-lk-become-sick-ipfv-3,
waimuru-speak-ipfv-1-ipfv,waimu-speak,ipfv,waimuru-speak-ipfv-1,
waimu-language-pert-1-pert,waimu-language,pert,waimu-language-pert-1,
yojse-eat-starch-pst-1-pst,yoj-eat-starch,pst,yojse-eat-starch-pst-1,
wajyama-kiss-ipfv-1-ipfv,wajyama-kiss,ipfv,wajyama-kiss-ipfv-1,
tainiri-3p-see-ipfv-0-3,ini-see,3,tainiri-3p-see-ipfv-0,
tainiri-3p-see-ipfv-2-ipfv,ini-see,ipfv,tainiri-3p-see-ipfv-2,
meyojse-2-eat-starch-pst-0-2,yoj-eat-starch,2,meyojse-2-eat-starch-pst-0,
meyojse-2-eat-starch-pst-2-pst,yoj-eat-starch,pst,meyojse-2-eat-starch-pst-2,
mewine-2-from-0-2,wine-from,2,mewine-2-from-0,
ejsejpeti-1-2-dream-ipfv-0-12,sejpeti-dream,12,ejsejpeti-1-2-dream-ipfv-0,
ejsejpeti-1-2-dream-ipfv-2-ipfv,sejpeti-dream,ipfv,ejsejpeti-1-2-dream-ipfv-2,
yakaramari-tell-ipfv-1-ipfv,yakarama-tell,ipfv,yakaramari-tell-ipfv-1,
ejchiyakon-1-2-friend-pert-0-12,chiyakon-friend,12,ejchiyakon-1-2-friend-pert-0,
ejchiyakon-1-2-friend-pert-2-pert,chiyakon-friend,pert,ejchiyakon-1-2-friend-pert-2,
mesejpetijpe-2-dream-pst-0-2,sejpeti-dream,2,mesejpetijpe-2-dream-pst-0,
mesejpetijpe-2-dream-pst-2-pst,sejpeti-dream,pst,mesejpetijpe-2-dream-pst-2,
winikiri-sleep-ipfv-1-ipfv,winiki-sleep,ipfv,winikiri-sleep-ipfv-1,
meyapichiri-2-grab-ipfv-0-2,yapichi-grab,2,meyapichiri-2-grab-ipfv-0,
meyapichiri-2-grab-ipfv-2-ipfv,yapichi-grab,ipfv,meyapichiri-2-grab-ipfv-2,
yakiri-lk-worm-pert-2-pert,aki-worm,pert,yakiri-lk-worm-pert-2,
yawoton-lk-uncle-pert-pl-2-pert,awo-uncle,pert,yawoton-lk-uncle-pert-pl-2,
yawoton-lk-uncle-pert-pl-3-pl,awo-uncle,pl,yawoton-lk-uncle-pert-pl-3,
yapichijpe-grab-pst-1-pst,yapichi-grab,pst,yapichijpe-grab-pst-1,
tejpe-go-pst-1-pst,te-go,pst,tejpe-go-pst-1,
sejpetijpe-dream-pst-1-pst,sejpeti-dream,pst,sejpetijpe-dream-pst-1,
tayakarama-3p-tell-ipfv-0-3,yakarama-tell,3,tayakarama-3p-tell-ipfv-0,
tayakarama-3p-tell-ipfv-2-ipfv,yakarama-tell,ipfv,tayakarama-3p-tell-ipfv-2,
yare-lk-leaf-pert-2-pert,are-leaf,pert,yare-lk-leaf-pert-2,
yakete-cut-ipfv-1-ipfv,yakete-cut,ipfv,yakete-cut-ipfv-1,
ye-tooth-pert-1-pert,ye-tooth,pert,ye-tooth-pert-1,
wejkari-fall-ipfv-1-ipfv,wejka-fall,ipfv,wejkari-fall-ipfv-1,
wejka-fall-ipfv-1-ipfv,wejka-fall,ipfv,wejka-fall-ipfv-1,
esematojpano-die-fut-concl-1-fut,esema-die,fut,esematojpano-die-fut-concl-1,
uye-1-tooth-pert-0-1,ye-tooth,1,uye-1-tooth-pert-0,
uye-1-tooth-pert-2-pert,ye-tooth,pert,uye-1-tooth-pert-2,
chiri-cop-ipfv-1-ipfv,chi-cop,ipfv,chiri-cop-ipfv-1,
mukuru-child-pert-1-pert,muku-child,pert,mukuru-child-pert-1,
yakereti-lk-relative-pert-2-pert,akere-relative,pert,yakereti-lk-relative-pert-2,
chiyakono-friend-pert-1-pert,chiyakono-friend,pert,chiyakono-friend-pert-1,
sema-die-ipfv-1-ipfv,sema-die,ipfv,sema-die-ipfv-1,
semari-die-ipfv-1-ipfv,sema-die,ipfv,semari-die-ipfv-1,
yaketese-cut-pst-1-pst,yakete-cut,pst,yaketese-cut-pst-1,
yemese-eat-fruits-eggs-soup-pst-1-pst,yeme-eat-fruits-eggs-soup,pst,yemese-eat-fruits-eggs-soup-pst-1,
sematojpano-die-fut-concl-1-fut,sema-die,fut,sematojpano-die-fut-concl-1,
uyewenke-1-lk-ignorant-0-1,ewenke-ignorant,1,uyewenke-1-lk-ignorant-0,
memukuru-2-child-pert-0-2,muku-child,2,memukuru-2-child-pert-0,
memukuru-2-child-pert-2-pert,muku-child,pert,memukuru-2-child-pert-2,
mewaraijtori-2-husband-pert-0-2,waraijto-husband,2,mewaraijtori-2-husband-pert-0,
