ID,Wordform_ID,Example_ID,Index,Parameter_ID
convcosnoind-65-3,ma-rst,convcosnoind-65,3,
convcosnoind-65-4,ejne-1-2pro,convcosnoind-65,4,
convcosnoind-66-0,ejne-1-2pro,convcosnoind-66,0,
convcosnoind-66-1,yuru-lk-starchy-food-pert,convcosnoind-66,1,
convcosnoind-67-0,ejne-1-2pro,convcosnoind-67,0,
convcosnoind-67-1,yuru-lk-starchy-food-pert,convcosnoind-67,1,
convcosnoind-67-2,taki-cnfrm,convcosnoind-67,2,
convcosnoind-67-6,warai-like,convcosnoind-67,6,
convcosnoind-67-7,tewi-3pro,convcosnoind-67,7,
convcosnoind-67-8,ma-rst,convcosnoind-67,8,
convcosnoind-69-0,aaa-ah,convcosnoind-69,0,
convcosnoind-70-0,onono-another,convcosnoind-70,0,
convcosnoind-70-1,peke-about,convcosnoind-70,1,
convcosnoind-70-6,pano-fmr,convcosnoind-70,6,
convcosnoind-72-0,tewi-3pro,convcosnoind-72,0,
convcosnoind-72-1,ma-rst,convcosnoind-72,1,
convcosnoind-72-2,yenipeke-drink-prog-tr,convcosnoind-72,2,
convcosnoind-72-3,ejne-1-2pro,convcosnoind-72,3,
convcosnoind-73-0,kimii-chili,convcosnoind-73,0,
convcosnoind-73-1,ma-rst,convcosnoind-73,1,
convcosnoind-74-0,kimii-chili,convcosnoind-74,0,
convcosnoind-76-0,kimii-chili,convcosnoind-76,0,
convcosnoind-76-2,ma-rst,convcosnoind-76,2,
convcosnoind-77-2,nwa-thus,convcosnoind-77,2,
convcosnoind-77-3,re-emp,convcosnoind-77,3,
convcosnoind-77-5,ke-ins,convcosnoind-77,5,
convcosnoind-77-6,ejne-1-2pro,convcosnoind-77,6,
convcosnoind-77-7,yemepeti-eat-fruits-eggs-soup-plur-ipfv,convcosnoind-77,7,
convcosnoind-77-8,wejsape-cop-pfv,convcosnoind-77,8,
convcosnoind-78-0,iyawe-3-loc,convcosnoind-78,0,
convcosnoind-78-1,taki-cnfrm,convcosnoind-78,1,
