ID,Language_ID,Name,Lexeme_ID,Parameter_ID,Morpho_Segments,Segments,Comment,Source,Part_Of_Speech
yemepeti-eat-fruits-eggs-soup-plur,yab,yeme-pëti,yemepeti-eat-fruits-eggs-soup-plur,"eat(fruits,_eggs,_soup)-PLUR",yeme pëti,,,,
keyatajpe-grow-pst-acnnmlz,yab,këyata-jpë,keyatajpe-grow-pst-acnnmlz,grow-PST.ACNNMLZ,këya ta jpë,,,,
enireno-now-nmlz,yab,enirë-no,enireno-now-nmlz,now-NMLZ; today-NMLZ,enirë no,,,,
yaweno-loc-nmlz,yab,yawë-no,yaweno-loc-nmlz,LOC-NMLZ,yawë no,,,,
nairi-do-acnnmlz,yab,nai-ri,nairi-do-acnnmlz,do-ACNNMLZ,nai ri,,,,
ijmojkatopo-cook-circ-nmlz,yab,ijmojka-topo,ijmojkatopo-cook-circ-nmlz,cook-CIRC.NMLZ,ijmojka topo,,,,
kani-take-out-agtnmlz,yab,ka-ni,kani-take-out-agtnmlz,take_out-AGTNMLZ,ka ni,,,,
turi-give-acnnmlz,yab,tu-ri,turi-give-acnnmlz,give-ACNNMLZ,tu ri,,,,
empampej-learn-plur,yab,ëmpam-pëj,empampej-learn-plur,learn-PLUR,ëmpam pëj,,,,
moronkapo-make-suffer-des,yab,moronka-po,moronkapo-make-suffer-des,make_suffer-DES,moron ka po,,,,
taropo-say-des,yab,taro-po,taropo-say-des,say-DES,taro po,,,,
empamtoj-learn-circ-nmlz,yab,ëmpam-toj,empamtoj-learn-circ-nmlz,learn-CIRC.NMLZ,ëmpam toj,,,,
tajpeti-say-plur,yab,taj-pëti,tajpeti-say-plur,say-PLUR,taj pëti,,,,
pojteri-want-acnnmlz,yab,pojtë-ri,pojteri-want-acnnmlz,want-ACNNMLZ,pojtë ri,,,,
wejpo-come-des,yab,wej-po,wejpo-come-des,come-DES,wej po,,,,
yepematopo-pay-circ-nmlz,yab,yepema-topo,yepematopo-pay-circ-nmlz,pay-CIRC.NMLZ,yepema topo,,,,
warotatopo-work-circ-nmlz,yab,warota-topo,warotatopo-work-circ-nmlz,work-CIRC.NMLZ,warota topo,,,,
yakaramari-tell-acnnmlz,yab,yakarama-ri,yakaramari-tell-acnnmlz,tell-ACNNMLZ,yakara ma ri,,,,
serekapo-become-tired-des,yab,sereka-po,serekapo-become-tired-des,become_tired-DES,s ereka po,,,,
pokono-about-nmlz,yab,poko-no,pokono-about-nmlz,about-NMLZ,poko no,,,,
tunamri-hide-acnnmlz,yab,tunam-ri,tunamri-hide-acnnmlz,hide-ACNNMLZ,tunam ri,,,,
yarikatopo-laugh-circ-nmlz,yab,yarika-topo,yarikatopo-laugh-circ-nmlz,laugh-CIRC.NMLZ,yarika topo,,,,
itapo-hear-des,yab,ita-po,itapo-hear-des,hear-DES,ita po,,,,
yaruwatopo-laugh-circ-nmlz,yab,yaruwa-topo,yaruwatopo-laugh-circ-nmlz,laugh-CIRC.NMLZ,yaruwa topo,,,,
iniri-see-acnnmlz,yab,ini-ri,iniri-see-acnnmlz,see-ACNNMLZ,ini ri,,,,
yarikase-laugh-ptcp,yab,yarika-se,yarikase-laugh-ptcp,laugh-PTCP; laugh-SUP,yarika se,,,,
