ID,Wordform_ID,Morph_ID,Index,Gloss_ID
chiyawe-when-0,chiyawe-when,chiyawe-when,0,when
yeneja-eat-meat-neg-0,yeneja-eat-meat-neg,yene-eat-meat,0,eat-meat
yeneja-eat-meat-neg-1,yeneja-eat-meat-neg,janeg,1,neg
tewarai-3-like-0,tewarai-3-like,te-3,0,3
tewarai-3-like-1,tewarai-3-like,warai-like,1,like
sereke-bitter-manioc-prop-0,sereke-bitter-manioc-prop,sere-bitter-manioc,0,bitter-manioc
sereke-bitter-manioc-prop-1,sereke-bitter-manioc-prop,keprop,1,prop
yuru-lk-starchy-food-pert-0,yuru-lk-starchy-food-pert,ylk,0,lk
yuru-lk-starchy-food-pert-1,yuru-lk-starchy-food-pert,u-starchy-food,1,starchy-food
yuru-lk-starchy-food-pert-2,yuru-lk-starchy-food-pert,rupert,2,pert
onono-another-0,onono-another,onono-another,0,another
peke-about-0,peke-about,peke-about,0,about
pano-fmr-0,pano-fmr,pano-fmr,0,fmr
yenipeke-drink-prog-tr-0,yenipeke-drink-prog-tr,yeni-drink-1,0,drink
yenipeke-drink-prog-tr-1,yenipeke-drink-prog-tr,pekeprog,1,"prog,tr"
kimii-chili-0,kimii-chili,kimii-chili,0,chili
yemepeti-eat-fruits-eggs-soup-plur-ipfv-0,yemepeti-eat-fruits-eggs-soup-plur-ipfv,yeme-eat-fruits-eggs-soup,0,eat-fruits-eggs-soup
yemepeti-eat-fruits-eggs-soup-plur-ipfv-1,yemepeti-eat-fruits-eggs-soup-plur-ipfv,plur1,1,plur
yemepeti-eat-fruits-eggs-soup-plur-ipfv-2,yemepeti-eat-fruits-eggs-soup-plur-ipfv,ri-zero,2,ipfv
iyawe-3-loc-0,iyawe-3-loc,i31,0,3
iyawe-3-loc-1,iyawe-3-loc,yawe-loc,1,loc
yeni-drink-ipfv-0,yeni-drink-ipfv,yeni-drink-1,0,drink
yeni-drink-ipfv-1,yeni-drink-ipfv,ri-zero,1,ipfv
keyatajpe-grow-pst-acnnmlz-1,keyatajpe-grow-pst-acnnmlz,jpenmlz,1,"pst,acnnmlz"
papa-father-0,papa-father,papa-father,0,father
yojtejpe-fish-with-hook-pst-0,yojtejpe-fish-with-hook-pst,yojte-fish-with-hook,0,fish-with-hook
yojtejpe-fish-with-hook-pst-1,yojtejpe-fish-with-hook-pst,jpepst1,1,pst
enireno-now-nmlz-0,enireno-now-nmlz,enire-now,0,now
enireno-now-nmlz-1,enireno-now-nmlz,nonmlz,1,nmlz
takere-3-with-0,takere-3-with,it3,0,3
