ID,Stem_ID,Morph_ID,Index,Gloss_ID
noro-parrot-sp,noro-parrot-sp,noro-parrot-sp,0,"parrot,sp"
noti-potential-partner,noti-potential-partner,noti-potential-partner,0,potential-partner
nta-mouth,nta-mouth,nta-mouth,0,mouth
nune-moon,nune-moon,nune-moon,0,moon
nu-tongue,nu-tongue,nu-tongue,0,tongue
nwajte-dance,nwajte-dance,nwajte-dance,0,dance
wajte-dance,wajte-dance,wajte-dance,0,dance
neme-leave,neme-leave,neme-leave,0,leave
ochi-o,ochi-o,ochi-o,0,o
ojpa-give-drink,ojpa-give-drink,ojpa-give-drink,0,give-drink
onono-another,onono-another,onono-another,0,another
orojyamo-evil-being,orojyamo-evil-being,orojyamo-evil-being,0,evil-being
pachi-older-sister-of-woman,pachi-older-sister-of-woman,pachi-older-sister-of-woman,0,older-sister-of-woman
paijku-p,paijku-p,paijku-p,0,p
paka-cow,paka-cow,paka-cow,0,cow
pakara-basket,pakara-basket,pakara-basket,0,basket
pakura-coix-lacryma-jobi,pakura-coix-lacryma-jobi,pakura-coix-lacryma-jobi,0,coix-lacryma-jobi
paku-arrow-tip,paku-arrow-tip,paku-arrow-tip,0,arrow-tip
pana-ear,pana-ear,pana-ear,0,ear
pana-dat,pana-dat,pana-dat,0,dat
papa-father,papa-father,papa-father,0,father
parujpe-broth,parujpe-broth,parujpe-broth,0,broth
pata-village,pata-village,pata-village,0,village
pata-axe,pata-axe,pata-axe,0,axe
pate-cross,pate-cross,pate-cross,0,cross
penare-before,penare-before,penare-before,0,before
pene-piranha,pene-piranha,pene-piranha,0,piranha
pepoye-above-perl,pepoye-above-perl,pepoye-above-perl,0,"above,perl"
pe-palm-sp,pe-palm-sp,pe-palm-sp,0,"palm,sp"
peti-leg,peti-leg,peti-leg,0,leg
peye-turtle-sp,peye-turtle-sp,peye-turtle-sp,0,"turtle,sp"
picha-capuchin-monkey,picha-capuchin-monkey,picha-capuchin-monkey,0,capuchin-monkey
pichipichi-whitebait,pichipichi-whitebait,pichipichi-whitebait,0,whitebait
pijpe-skin,pijpe-skin,pijpe-skin,0,skin
pika-peel,pika-peel,pika-peel,0,peel
pike-fart,pike-fart,pike-fart,0,fart
pipi-younger-brother-of-woman,pipi-younger-brother-of-woman,pipi-younger-brother-of-woman,0,younger-brother-of-woman
pirini-walk,pirini-walk,pirini-walk,0,walk
pirini-walk-1,pirini-walk-1,pirini-walk-1,0,walk
pojte-want,pojte-want,pojte-want,0,want
poroko-basket-sp,poroko-basket-sp,poroko-basket-sp,0,"basket,sp"
poseti-belly,poseti-belly,poseti-belly,0,belly
pota-mouth,pota-mouth,pota-mouth,0,mouth
poye-above,poye-above,poye-above,0,above
punu-flesh,punu-flesh,punu-flesh,0,flesh
pun-flesh,pun-flesh,pun-flesh,0,flesh
putu-feel,putu-feel,putu-feel,0,feel
peke-about,peke-about,peke-about,0,about
poko-about,poko-about,poko-about,0,about
penaka-return,penaka-return,penaka-return,0,return
pimi-neck,pimi-neck,pimi-neck,0,neck
pirika-endure,pirika-endure,pirika-endure,0,endure
roka-wash,roka-wash,roka-wash,0,wash
roko-crazy,roko-crazy,roko-crazy,0,crazy
romoye-downriver,romoye-downriver,romoye-downriver,0,downriver
rotoro-doctor,rotoro-doctor,rotoro-doctor,0,doctor
rui-older-brother,rui-older-brother,rui-older-brother,0,older-brother
sai-penis,sai-penis,sai-penis,0,penis
sakara-hoplias-malabaricus,sakara-hoplias-malabaricus,sakara-hoplias-malabaricus,0,hoplias-malabaricus
sakau-sand,sakau-sand,sakau-sand,0,sand
saku-sweet-potato,saku-sweet-potato,saku-sweet-potato,0,sweet-potato
samo-cry,samo-cry,samo-cry,0,cry
semo-cry,semo-cry,semo-cry,0,cry
asamo-cry,asamo-cry,asamo-cry,0,cry
sampu-black-piranha,sampu-black-piranha,sampu-black-piranha,0,black-piranha
sapara-heavy-pot,sapara-heavy-pot,sapara-heavy-pot,0,heavy-pot
sare-here-all,sare-here-all,sare-here-all,0,"here,all"
sawo-rapids,sawo-rapids,sawo-rapids,0,rapids
sepami-get-married,sepami-get-married,sepami-get-married,0,get-married
sepan-get-married,sepan-get-married,sepan-get-married,0,get-married
sere-bitter-manioc,sere-bitter-manioc,sere-bitter-manioc,0,bitter-manioc
sojpa-take-out,sojpa-take-out,sojpa-take-out,0,take-out
