ID,Process_ID,Target_ID,Source_ID,Root_ID,Stempart_IDs,Comment
wurijyampijke-woman-dim,pijkedim,wurijyampijke-woman-dim,wurijyam-woman,,wurijyampijke-woman-dim-1,
naijpeti-do-plur,petiplur,naijpeti-do-plur,naij-do,,naijpeti-do-plur-1,
ejwenakajpe-vomit-pst-acnnmlz,jpenmlz,ejwenakajpe-vomit-pst-acnnmlz,ejwenaka-vomit,,ejwenakajpe-vomit-pst-acnnmlz-3,
inpeti-see-plur,petiplur,inpeti-see-plur,in-see,,inpeti-see-plur-1,
tipapej-go-in-group-plur,petiplur,tipapej-go-in-group-plur,tipa-go-in-group,,tipapej-go-in-group-plur-1,
mukuke-child-prop,keprop,mukuke-child-prop,muku-child,,mukuke-child-prop-1,
karasakem-white-nmlz,minmlz,karasakem-white-nmlz,karasake-white,,karasakem-white-nmlz-1,
yenepo-eat-meat-des,podes,yenepo-eat-meat-des,yene-eat-meat,,yenepo-eat-meat-des-1,
rokari-wash-acnnmlz,rinmlz,rokari-wash-acnnmlz,roka-wash,,rokari-wash-acnnmlz-1,
weretapej-arrive-plur,petiplur,weretapej-arrive-plur,wereta-arrive,,weretapej-arrive-plur-1,
weretari-arrive-acnnmlz,rinmlz,weretari-arrive-acnnmlz,wereta-arrive,,weretari-arrive-acnnmlz-1,
winijpej-sleep-plur,petiplur,winijpej-sleep-plur,winij-sleep,,winijpej-sleep-plur-1,
yantoj-pick-up-circ-nmlz,toponmlz,yantoj-pick-up-circ-nmlz,yan-pick-up,,yantoj-pick-up-circ-nmlz-1,
yamantane-make-cncs,tanecncs,yamantane-make-cncs,yaman-make,,yamantane-make-cncs-1,
kamwiyajkase-change-ptcp,septcp,kamwiyajkase-change-ptcp,kamwiyajka-change,,kamwiyajkase-change-ptcp-1,
tase-say-ptcp,septcp,tase-say-ptcp,ta-say,,tase-say-ptcp-1,
atike-plot-of-cultivated-land-prop,keprop,atike-plot-of-cultivated-land-prop,ati-plot-of-cultivated-land,,atike-plot-of-cultivated-land-prop-1,
wejteri-go-down-acnnmlz,rinmlz,wejteri-go-down-acnnmlz,wejte-go-down,,wejteri-go-down-acnnmlz-1,
enujtane-go-up-cncs,tanecncs,enujtane-go-up-cncs,enuj-go-up,,enujtane-go-up-cncs-1,
enukuri-go-up-acnnmlz,rinmlz,enukuri-go-up-acnnmlz,enuku-go-up,,enukuri-go-up-acnnmlz-1,
esemapej-die-plur,petiplur,esemapej-die-plur,esema-die,,esemapej-die-plur-1,
ejpenakapeti-return-plur,petiplur,ejpenakapeti-return-plur,ejpenaka-return,,ejpenakapeti-return-plur-2,
waimutane-speak-cncs,tanecncs,waimutane-speak-cncs,waimu-speak,,waimutane-speak-cncs-1,
tetane-go-cncs,tanecncs,tetane-go-cncs,te-go,,tetane-go-cncs-1,
ejnemese-remain-ptcp,septcp,ejnemese-remain-ptcp,ejneme-remain,,ejnemese-remain-ptcp-2,
yampo-pick-up-des,podes,yampo-pick-up-des,yam-pick-up,,yampo-pick-up-des-1,
itatane-hear-cncs,tanecncs,itatane-hear-cncs,ita-hear,,itatane-hear-cncs-1,
wetane-kill-cncs,tanecncs,wetane-kill-cncs,we-kill,,wetane-kill-cncs-1,
wejkari-fall-acnnmlz,rinmlz,wejkari-fall-acnnmlz,wejka-fall,,wejkari-fall-acnnmlz-1,
kamwiyajkapo-change-des,podes,kamwiyajkapo-change-des,kamwiyajka-change,,kamwiyajkapo-change-des-1,
yanepijke-mother-dim,pijkedim,yanepijke-mother-dim,yane-mother,,yanepijke-mother-dim-1,
tupo-give-des,podes,tupo-give-des,tu-give,,tupo-give-des-1,
asamori-cry-acnnmlz,rinmlz,asamori-cry-acnnmlz,asamo-cry,,asamori-cry-acnnmlz-1,
teijpono-far-nmlz-1,anonmlz,teijpono-far-nmlz-1,teijpo-far,,teijpono-far-nmlz-1-1,
tarori-say-acnnmlz,rinmlz,tarori-say-acnnmlz,taro-say,,tarori-say-acnnmlz-1,
tojpapej-hit-plur,petiplur,tojpapej-hit-plur,tojpa-hit,,tojpapej-hit-plur-1,
yansape-pick-up-abs-nmlz,sapenmlz,yansape-pick-up-abs-nmlz,yan-pick-up,,yansape-pick-up-abs-nmlz-1,
yakaramasape-tell-abs-nmlz,sapenmlz,yakaramasape-tell-abs-nmlz,yakarama-tell,,yakaramasape-tell-abs-nmlz-2,
pojteni-want-agtnmlz,ninmlz,pojteni-want-agtnmlz,pojte-want,,pojteni-want-agtnmlz-1,
yawankase-kill-ptcp,septcp,yawankase-kill-ptcp,yawanka-kill,,yawankase-kill-ptcp-1,
warotapo-work-des,podes,warotapo-work-des,warota-work,,warotapo-work-des-1,
mujnajtese-bury-ptcp,septcp,mujnajtese-bury-ptcp,mujnajte-bury,,mujnajtese-bury-ptcp-2,
wejpeti-come-plur,petiplur,wejpeti-come-plur,wej-come,,wejpeti-come-plur-1,
senkane-finish-inf,neinf,senkane-finish-inf,senka-finish,,senkane-finish-inf-2,
wejkatopo-fall-circ-nmlz,toponmlz,wejkatopo-fall-circ-nmlz,wejka-fall,,wejkatopo-fall-circ-nmlz-1,
waimune-speak-inf,neinf,waimune-speak-inf,waimu-speak,,waimune-speak-inf-1,
semone-cry-inf,neinf,semone-cry-inf,semo-cry,,semone-cry-inf-1,
ipej-put-plur,petiplur,ipej-put-plur,i-put,,ipej-put-plur-1,
tapari-beat-acnnmlz,rinmlz,tapari-beat-acnnmlz,tapa-beat,,tapari-beat-acnnmlz-1,
itapej-hear-plur,petiplur,itapej-hear-plur,ita-hear,,itapej-hear-plur-1,
ise-put-ptcp,septcp,ise-put-ptcp,i-put,,ise-put-ptcp-1,
itajpe-hear-pst-acnnmlz,jpenmlz,itajpe-hear-pst-acnnmlz,ita-hear,,itajpe-hear-pst-acnnmlz-1,
yarepej-bring-plur,petiplur,yarepej-bring-plur,yare-bring,,yarepej-bring-plur-1,
wenkejne-forget-inf,neinf,wenkejne-forget-inf,wenkej-forget,,wenkejne-forget-inf-1,
yapejpeti-grab-plur,petiplur,yapejpeti-grab-plur,yapej-grab,,yapejpeti-grab-plur-1,
semopej-cry-plur,petiplur,semopej-cry-plur,semo-cry,,semopej-cry-plur-1,
tetopo-go-circ-nmlz,toponmlz,tetopo-go-circ-nmlz,te-go,,tetopo-go-circ-nmlz-1,
kaimotatopo-hunt-circ-nmlz,toponmlz,kaimotatopo-hunt-circ-nmlz,kaimota-hunt,,kaimotatopo-hunt-circ-nmlz-2,
yewukuri-answer-acnnmlz,rinmlz,yewukuri-answer-acnnmlz,yewuku-answer,,yewukuri-answer-acnnmlz-1,
epese-escape-ptcp,septcp,epese-escape-ptcp,epe-escape,,epese-escape-ptcp-1,
enirom-now-nmlz,minmlz,enirom-now-nmlz,eniro-now,,enirom-now-nmlz-1,
semekiri-defend-acnnmlz,rinmlz,semekiri-defend-acnnmlz,semeki-defend,,semekiri-defend-acnnmlz-1,
sempinujsape-close-eyes-abs-nmlz,sapenmlz,sempinujsape-close-eyes-abs-nmlz,sempinuj-close-eyes,,sempinujsape-close-eyes-abs-nmlz-1,
sempinujtopo-close-eyes-circ-nmlz,toponmlz,sempinujtopo-close-eyes-circ-nmlz,sempinuj-close-eyes,,sempinujtopo-close-eyes-circ-nmlz-1,
wintikari-disappear-acnnmlz,rinmlz,wintikari-disappear-acnnmlz,wintika-disappear,,wintikari-disappear-acnnmlz-1,
yamaneri-make-acnnmlz,rinmlz,yamaneri-make-acnnmlz,yamane-make,,yamaneri-make-acnnmlz-1,
yojmatopo-mix-circ-nmlz,toponmlz,yojmatopo-mix-circ-nmlz,yojma-mix,,yojmatopo-mix-circ-nmlz-1,
kerepijke-old-dim,pijkedim,kerepijke-old-dim,kere-old,,kerepijke-old-dim-1,
yateno-loc-nmlz,anonmlz,yateno-loc-nmlz,yate-loc,,yateno-loc-nmlz-1,
yemetopo-eat-fruits-eggs-soup-circ-nmlz,toponmlz,yemetopo-eat-fruits-eggs-soup-circ-nmlz,yeme-eat-fruits-eggs-soup,,yemetopo-eat-fruits-eggs-soup-circ-nmlz-1,
yamanetane-make-cncs,tanecncs,yamanetane-make-cncs,yamane-make,,yamanetane-make-cncs-1,
yempekapo-offend-des,podes,yempekapo-offend-des,yempeka-offend,,yempekapo-offend-des-1,
empamiri-learn-acnnmlz,rinmlz,empamiri-learn-acnnmlz,empami-learn,,empamiri-learn-acnnmlz-1,
wenkejsape-forget-abs-nmlz,sapenmlz,wenkejsape-forget-abs-nmlz,wenkej-forget,,wenkejsape-forget-abs-nmlz-1,
wintikapej-disappear-plur,petiplur,wintikapej-disappear-plur,wintika-disappear,,wintikapej-disappear-plur-1,
waimurunpej-speak-plur,petiplur,waimurunpej-speak-plur,waimurun-speak,,waimurunpej-speak-plur-1,
waimupo-speak-des,podes,waimupo-speak-des,waimu-speak,,waimupo-speak-des-1,
yareni-bring-agtnmlz,ninmlz,yareni-bring-agtnmlz,yare-bring,,yareni-bring-agtnmlz-1,
sopikase-skin-ptcp,septcp,sopikase-skin-ptcp,sopika-skin,,sopikase-skin-ptcp-1,
wontoj-enter-circ-nmlz,toponmlz,wontoj-enter-circ-nmlz,won-enter,,wontoj-enter-circ-nmlz-1,
yareri-bring-acnnmlz,rinmlz,yareri-bring-acnnmlz,yare-bring,,yareri-bring-acnnmlz-1,
yojri-eat-starch-acnnmlz,rinmlz,yojri-eat-starch-acnnmlz,yoj-eat-starch,,yojri-eat-starch-acnnmlz-1,
ajpachike-undergrowth-prop,keprop,ajpachike-undergrowth-prop,ajpachi-undergrowth,,ajpachike-undergrowth-prop-1,
nejpeti-bring-plur,petiplur,nejpeti-bring-plur,nej-bring,,nejpeti-bring-plur-1,
