ID,Stem_ID,Value_ID,Wordformpart_ID,Form_ID
taitapo-3p-hear-des-ipfv-3-ipfv,itapo-hear-des,ipfv,taitapo-3p-hear-des-ipfv-3,
senejkari-stay-ipfv-1-ipfv,senejka-stay,ipfv,senejkari-stay-ipfv-1,
uyiwij-1-lk-house-pert-0-1,iwij-house,1,uyiwij-1-lk-house-pert-0,
uyiwij-1-lk-house-pert-3-pert,iwij-house,pert,uyiwij-1-lk-house-pert-3,
itari-hear-ipfv-1-ipfv,ita-hear,ipfv,itari-hear-ipfv-1,
kajke-say-imp-1-imp,kaj-say,imp,kajke-say-imp-1,
usenejkari-1-stay-ipfv-0-1,senejka-stay,1,usenejkari-1-stay-ipfv-0,
usenejkari-1-stay-ipfv-2-ipfv,senejka-stay,ipfv,usenejkari-1-stay-ipfv-2,
inke-see-imp-1-imp,in-see,imp,inke-see-imp-1,
yaruwatepeke-laugh-prog-intr-1-prog,yaruwa-laugh,prog,yaruwatepeke-laugh-prog-intr-1,
waimukontomo-speak-ipfv-pl-1-ipfv,waimu-speak,ipfv,waimukontomo-speak-ipfv-pl-1,
waimukontomo-speak-ipfv-pl-2-pl,waimu-speak,pl,waimukontomo-speak-ipfv-pl-2,
ijpe-put-pst-1-pst,i-put,pst,ijpe-put-pst-1,
yekerema-boast-sexually-ipfv-1-ipfv,yekerema-boast-sexually,ipfv,yekerema-boast-sexually-ipfv-1,
yaruwakontomo-laugh-ipfv-pl-1-ipfv,yaruwa-laugh,ipfv,yaruwakontomo-laugh-ipfv-pl-1,
yaruwakontomo-laugh-ipfv-pl-2-pl,yaruwa-laugh,pl,yaruwakontomo-laugh-ipfv-pl-2,
takontomo-say-ipfv-pl-1-ipfv,ta-say,ipfv,takontomo-say-ipfv-pl-1,
takontomo-say-ipfv-pl-2-pl,ta-say,pl,takontomo-say-ipfv-pl-2,
inija-see-neg-1-neg,ini-see,neg,inija-see-neg-1,
wajyakiti-be-happy-ipfv-1-ipfv,wajyakiti-be-happy,ipfv,wajyakiti-be-happy-ipfv-1,
uyare-1-alone-0-1,yare-alone,1,uyare-1-alone-0,
peremekiri-talk-ipfv-1-ipfv,peremeki-talk,ipfv,peremekiri-talk-ipfv-1,
chiyakon-friend-pert-1-pert,chiyakon-friend,pert,chiyakon-friend-pert-1,
yakaramapetiri-tell-plur-ipfv-2-ipfv,yakaramapeti-tell-plur,ipfv,yakaramapetiri-tell-plur-ipfv-2,
meyewenke-2-lk-ignorant-0-2,ewenke-ignorant,2,meyewenke-2-lk-ignorant-0,
tawaru-nyctidromus-albicollis-pert-1-pert,tawa-nyctidromus-albicollis,pert,tawaru-nyctidromus-albicollis-pert-1,
